MULLINS,30.4991,30.532
BENSON,30.5321,30.565
SHARP,30.5651,30.598
BOWEN,30.5981,30.631
DANIEL,30.6311,30.663
BARBER,30.6631,30.696
CUMMINGS,30.6961,30.728
HINES,30.7281,30.76
BALDWIN,30.7601,30.793
GRIFFITH,30.7931,30.824
VALDEZ,30.8241,30.856
HUBBARD,30.8561,30.888
SALAZAR,30.8881,30.92
REEVES,30.9201,30.951
WARNER,30.9511,30.983
STEVENSON,30.9831,31.014
BURGESS,31.0141,31.045
SANTOS,31.0451,31.076
TATE,31.0761,31.107
CROSS,31.1071,31.138
GARNER,31.1381,31.169
MANN,31.1691,31.2
MACK,31.2001,31.231
MOSS,31.2311,31.262
THORNTON,31.2621,31.292
DENNIS,31.2921,31.323
MCGEE,31.3231,31.354
FARMER,31.3541,31.384
DELGADO,31.3841,31.415
AGUILAR,31.4151,31.445
VEGA,31.4451,31.475
GLOVER,31.4751,31.505
MANNING,31.5051,31.535
COHEN,31.5351,31.566
HARMON,31.5661,31.596
RODGERS,31.5961,31.626
ROBBINS,31.6261,31.656
NEWTON,31.6561,31.686
TODD,31.6861,31.716
BLAIR,31.7161,31.746
HIGGINS,31.7461,31.776
INGRAM,31.7761,31.806
REESE,31.8061,31.836
CANNON,31.8361,31.865
STRICKLAND,31.8651,31.895
TOWNSEND,31.8951,31.925
POTTER,31.9251,31.955
GOODWIN,31.9551,31.984
WALTON,31.9841,32.014
ROWE,32.0141,32.043
HAMPTON,32.0431,32.073
ORTEGA,32.0731,32.102
PATTON,32.1021,32.131
SWANSON,32.1311,32.161
JOSEPH,32.1611,32.19
FRANCIS,32.1901,32.219
GOODMAN,32.2191,32.248
MALDONADO,32.2481,32.277
YATES,32.2771,32.305
BECKER,32.3051,32.334
ERICKSON,32.3341,32.363
HODGES,32.3631,32.392
RIOS,32.3921,32.421
CONNER,32.4211,32.449
ADKINS,32.4491,32.478
WEBSTER,32.4781,32.506
NORMAN,32.5061,32.535
MALONE,32.5351,32.563
HAMMOND,32.5631,32.591
FLOWERS,32.5911,32.62
COBB,32.6201,32.648
MOODY,32.6481,32.676
QUINN,32.6761,32.704
BLAKE,32.7041,32.732
MAXWELL,32.7321,32.759
POPE,32.7591,32.787
FLOYD,32.7871,32.814
OSBORNE,32.8141,32.842
PAUL,32.8421,32.869
MCCARTHY,32.8691,32.896
GUERRERO,32.8961,32.924
LINDSEY,32.9241,32.951
ESTRADA,32.9511,32.978
SANDOVAL,32.9781,33.005
GIBBS,33.0051,33.032
TYLER,33.0321,33.059
GROSS,33.0591,33.086
FITZGERALD,33.0861,33.113
STOKES,33.1131,33.14
DOYLE,33.1401,33.167
SHERMAN,33.1671,33.193
SAUNDERS,33.1931,33.22
WISE,33.2201,33.247
COLON,33.2471,33.274
GILL,33.2741,33.3
ALVARADO,33.3001,33.327
GREER,33.3271,33.353
PADILLA,33.3531,33.38
SIMON,33.3801,33.406
WATERS,33.4061,33.432
NUNEZ,33.4321,33.459
BALLARD,33.4591,33.485
SCHWARTZ,33.4851,33.511
MCBRIDE,33.5111,33.536
HOUSTON,33.5361,33.562
CHRISTENSEN,33.5621,33.588
KLEIN,33.5881,33.614
PRATT,33.6141,33.64
BRIGGS,33.6401,33.666
PARSONS,33.6661,33.692
MCLAUGHLIN,33.6921,33.717
ZIMMERMAN,33.7171,33.743
FRENCH,33.7431,33.769
BUCHANAN,33.7691,33.794
MORAN,33.7941,33.82
COPELAND,33.8201,33.845
ROY,33.8451,33.871
PITTMAN,33.8711,33.896
BRADY,33.8961,33.922
MCCORMICK,33.9221,33.947
HOLLOWAY,33.9471,33.972
BROCK,33.9721,33.998
POOLE,33.9981,34.023
FRANK,34.0231,34.048
LOGAN,34.0481,34.073
OWEN,34.0731,34.098
BASS,34.0981,34.122
MARSH,34.1221,34.147
DRAKE,34.1471,34.172
WONG,34.1721,34.197
JEFFERSON,34.1971,34.221
PARK,34.2211,34.246
MORTON,34.2461,34.271
ABBOTT,34.2711,34.295
SPARKS,34.2951,34.32
PATRICK,34.3201,34.344
NORTON,34.3441,34.369
HUFF,34.3691,34.393
CLAYTON,34.3931,34.417
MASSEY,34.4171,34.442
LLOYD,34.4421,34.466
FIGUEROA,34.4661,34.49
CARSON,34.4901,34.514
BOWERS,34.5141,34.538
ROBERSON,34.5381,34.563
BARTON,34.5631,34.587
TRAN,34.5871,34.611
LAMB,34.6111,34.635
HARRINGTON,34.6351,34.659
CASEY,34.6591,34.683
BOONE,34.6831,34.706
CORTEZ,34.7061,34.73
CLARKE,34.7301,34.754
MATHIS,34.7541,34.778
SINGLETON,34.7781,34.801
WILKINS,34.8011,34.825
CAIN,34.8251,34.849
BRYAN,34.8491,34.872
UNDERWOOD,34.8721,34.896
HOGAN,34.8961,34.92
MCKENZIE,34.9201,34.943
COLLIER,34.9431,34.966
LUNA,34.9661,34.99
PHELPS,34.9901,35.013
MCGUIRE,35.0131,35.036
ALLISON,35.0361,35.059
BRIDGES,35.0591,35.083
WILKERSON,35.0831,35.106
NASH,35.1061,35.129
SUMMERS,35.1291,35.152
ATKINS,35.1521,35.175
WILCOX,35.1751,35.198
PITTS,35.1981,35.221
CONLEY,35.2211,35.244
MARQUEZ,35.2441,35.267
BURNETT,35.2671,35.29
RICHARD,35.2901,35.313
COCHRAN,35.3131,35.335
CHASE,35.3351,35.358
DAVENPORT,35.3581,35.381
HOOD,35.3811,35.404
GATES,35.4041,35.427
CLAY,35.4271,35.449
